"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2122","Registration with correct email, username and password","LMS system","Sun Jun 21 10:19:56 UTC 2026","passed","Sun Jun 21 10:19:59 UTC 2026","Registration","Authentication","",""
"","1915","User login with wrong email or password","LMS system","Sun Jun 21 10:19:52 UTC 2026","passed","Sun Jun 21 10:19:54 UTC 2026","Authorization","Authentication","",""
"","1719","User login with wrong email or password","LMS system","Sun Jun 21 10:19:54 UTC 2026","passed","Sun Jun 21 10:19:56 UTC 2026","Authorization","Authentication","",""
"","1547","Check displaying of empty courses list","LMS system","Sun Jun 21 10:20:00 UTC 2026","passed","Sun Jun 21 10:20:02 UTC 2026","Courses","Courses","",""
"","1632","Navigation from login page to registration page","LMS system","Sun Jun 21 10:19:58 UTC 2026","passed","Sun Jun 21 10:20:00 UTC 2026","Authorization","Authentication","",""
"","1865","User login with wrong email or password","LMS system","Sun Jun 21 10:19:52 UTC 2026","passed","Sun Jun 21 10:19:54 UTC 2026","Authorization","Authentication","",""
"","2877","Create course","LMS system","Sun Jun 21 10:20:01 UTC 2026","passed","Sun Jun 21 10:20:04 UTC 2026","Courses","Courses","",""
"","2190","Check displaying of dashboard page","LMS system","Sun Jun 21 10:20:05 UTC 2026","passed","Sun Jun 21 10:20:07 UTC 2026","Dashboard","Dashboard","",""
"","3357","User login with correct email and password","LMS system","Sun Jun 21 10:19:54 UTC 2026","passed","Sun Jun 21 10:19:58 UTC 2026","Authorization","Authentication","",""
"","3318","Edit course","LMS system","Sun Jun 21 10:20:02 UTC 2026","passed","Sun Jun 21 10:20:06 UTC 2026","Courses","Courses","",""
