"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1640","Check displaying of empty courses list","LMS system","Sat Jun 20 08:01:10 UTC 2026","passed","Sat Jun 20 08:01:11 UTC 2026","Courses","Courses","",""
"","1711","Check displaying of dashboard page","LMS system","Sat Jun 20 08:01:15 UTC 2026","passed","Sat Jun 20 08:01:17 UTC 2026","Dashboard","Dashboard","",""
"","3218","User login with correct email and password","LMS system","Sat Jun 20 08:01:04 UTC 2026","passed","Sat Jun 20 08:01:07 UTC 2026","Authorization","Authentication","",""
"","1775","Navigation from login page to registration page","LMS system","Sat Jun 20 08:01:06 UTC 2026","passed","Sat Jun 20 08:01:08 UTC 2026","Authorization","Authentication","",""
"","2034","Registration with correct email, username and password","LMS system","Sat Jun 20 08:01:07 UTC 2026","passed","Sat Jun 20 08:01:10 UTC 2026","Registration","Authentication","",""
"","1944","User login with wrong email or password","LMS system","Sat Jun 20 08:01:01 UTC 2026","passed","Sat Jun 20 08:01:03 UTC 2026","Authorization","Authentication","",""
"","2972","Create course","LMS system","Sat Jun 20 08:01:11 UTC 2026","passed","Sat Jun 20 08:01:14 UTC 2026","Courses","Courses","",""
"","1586","User login with wrong email or password","LMS system","Sat Jun 20 08:01:04 UTC 2026","passed","Sat Jun 20 08:01:05 UTC 2026","Authorization","Authentication","",""
"","1906","User login with wrong email or password","LMS system","Sat Jun 20 08:01:01 UTC 2026","passed","Sat Jun 20 08:01:03 UTC 2026","Authorization","Authentication","",""
"","3039","Edit course","LMS system","Sat Jun 20 08:01:12 UTC 2026","passed","Sat Jun 20 08:01:15 UTC 2026","Courses","Courses","",""
