"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2044","Registration with correct email, username and password","LMS system","Tue Jun 23 17:38:20 UTC 2026","passed","Tue Jun 23 17:38:22 UTC 2026","Registration","Authentication","",""
"","1750","Check displaying of empty courses list","LMS system","Tue Jun 23 17:38:22 UTC 2026","failed","Tue Jun 23 17:38:24 UTC 2026","Courses","Courses","",""
"","1750","User login with wrong email or password","LMS system","Tue Jun 23 17:38:14 UTC 2026","passed","Tue Jun 23 17:38:16 UTC 2026","Authorization","Authentication","",""
"","3416","Edit course","LMS system","Tue Jun 23 17:38:24 UTC 2026","passed","Tue Jun 23 17:38:28 UTC 2026","Courses","Courses","",""
"","3023","Create course","LMS system","Tue Jun 23 17:38:24 UTC 2026","passed","Tue Jun 23 17:38:27 UTC 2026","Courses","Courses","",""
"","1712","Navigation from login page to registration page","LMS system","Tue Jun 23 17:38:18 UTC 2026","passed","Tue Jun 23 17:38:20 UTC 2026","Authorization","Authentication","",""
"","1829","User login with wrong email or password","LMS system","Tue Jun 23 17:38:14 UTC 2026","passed","Tue Jun 23 17:38:16 UTC 2026","Authorization","Authentication","",""
"","3116","User login with correct email and password","LMS system","Tue Jun 23 17:38:16 UTC 2026","passed","Tue Jun 23 17:38:20 UTC 2026","Authorization","Authentication","",""
"","1813","Check displaying of dashboard page","LMS system","Tue Jun 23 17:38:28 UTC 2026","passed","Tue Jun 23 17:38:30 UTC 2026","Dashboard","Dashboard","",""
"","1655","User login with wrong email or password","LMS system","Tue Jun 23 17:38:16 UTC 2026","passed","Tue Jun 23 17:38:18 UTC 2026","Authorization","Authentication","",""
