"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3264","Create course","LMS system","Sat Jun 20 07:58:11 UTC 2026","passed","Sat Jun 20 07:58:14 UTC 2026","Courses","Courses","",""
"","1554","User login with wrong email or password","LMS system","Sat Jun 20 07:58:04 UTC 2026","passed","Sat Jun 20 07:58:05 UTC 2026","Authorization","Authentication","",""
"","1886","User login with wrong email or password","LMS system","Sat Jun 20 07:58:01 UTC 2026","passed","Sat Jun 20 07:58:03 UTC 2026","Authorization","Authentication","",""
"","3039","User login with correct email and password","LMS system","Sat Jun 20 07:58:04 UTC 2026","passed","Sat Jun 20 07:58:07 UTC 2026","Authorization","Authentication","",""
"","3397","Edit course","LMS system","Sat Jun 20 07:58:11 UTC 2026","passed","Sat Jun 20 07:58:14 UTC 2026","Courses","Courses","",""
"","1827","User login with wrong email or password","LMS system","Sat Jun 20 07:58:01 UTC 2026","passed","Sat Jun 20 07:58:03 UTC 2026","Authorization","Authentication","",""
"","1808","Check displaying of dashboard page","LMS system","Sat Jun 20 07:58:15 UTC 2026","passed","Sat Jun 20 07:58:17 UTC 2026","Dashboard","Dashboard","",""
"","1659","Navigation from login page to registration page","LMS system","Sat Jun 20 07:58:06 UTC 2026","passed","Sat Jun 20 07:58:07 UTC 2026","Authorization","Authentication","",""
"","1977","Registration with correct email, username and password","LMS system","Sat Jun 20 07:58:07 UTC 2026","passed","Sat Jun 20 07:58:09 UTC 2026","Registration","Authentication","",""
"","1758","Check displaying of empty courses list","LMS system","Sat Jun 20 07:58:09 UTC 2026","passed","Sat Jun 20 07:58:11 UTC 2026","Courses","Courses","",""
