"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3194","User login with correct email and password","LMS system","Sat Jun 20 08:03:57 UTC 2026","passed","Sat Jun 20 08:04:00 UTC 2026","Authorization","Authentication","",""
"","3722","Edit course","LMS system","Sat Jun 20 08:04:05 UTC 2026","passed","Sat Jun 20 08:04:09 UTC 2026","Courses","Courses","",""
"","1978","Registration with correct email, username and password","LMS system","Sat Jun 20 08:04:01 UTC 2026","passed","Sat Jun 20 08:04:03 UTC 2026","Registration","Authentication","",""
"","3158","Create course","LMS system","Sat Jun 20 08:04:05 UTC 2026","passed","Sat Jun 20 08:04:08 UTC 2026","Courses","Courses","",""
"","1679","User login with wrong email or password","LMS system","Sat Jun 20 08:03:57 UTC 2026","passed","Sat Jun 20 08:03:59 UTC 2026","Authorization","Authentication","",""
"","2044","User login with wrong email or password","LMS system","Sat Jun 20 08:03:55 UTC 2026","passed","Sat Jun 20 08:03:57 UTC 2026","Authorization","Authentication","",""
"","2028","User login with wrong email or password","LMS system","Sat Jun 20 08:03:55 UTC 2026","passed","Sat Jun 20 08:03:57 UTC 2026","Authorization","Authentication","",""
"","1724","Navigation from login page to registration page","LMS system","Sat Jun 20 08:03:59 UTC 2026","passed","Sat Jun 20 08:04:01 UTC 2026","Authorization","Authentication","",""
"","1735","Check displaying of empty courses list","LMS system","Sat Jun 20 08:04:03 UTC 2026","passed","Sat Jun 20 08:04:05 UTC 2026","Courses","Courses","",""
"","1902","Check displaying of dashboard page","LMS system","Sat Jun 20 08:04:08 UTC 2026","passed","Sat Jun 20 08:04:10 UTC 2026","Dashboard","Dashboard","",""
