"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3018","Edit course","LMS system","Thu Jun 25 14:48:45 UTC 2026","passed","Thu Jun 25 14:48:48 UTC 2026","Courses","Courses","",""
"","1728","Check displaying of dashboard page","LMS system","Thu Jun 25 14:48:48 UTC 2026","passed","Thu Jun 25 14:48:50 UTC 2026","Dashboard","Dashboard","",""
"","1816","Registration with correct email, username and password","LMS system","Thu Jun 25 14:48:41 UTC 2026","passed","Thu Jun 25 14:48:43 UTC 2026","Registration","Authentication","",""
"","1549","Check displaying of empty courses list","LMS system","Thu Jun 25 14:48:43 UTC 2026","failed","Thu Jun 25 14:48:45 UTC 2026","Courses","Courses","",""
"","2683","Create course","LMS system","Thu Jun 25 14:48:45 UTC 2026","passed","Thu Jun 25 14:48:47 UTC 2026","Courses","Courses","",""
"","3039","User login with correct email and password","LMS system","Thu Jun 25 14:48:38 UTC 2026","passed","Thu Jun 25 14:48:41 UTC 2026","Authorization","Authentication","",""
"","1796","User login with wrong email or password","LMS system","Thu Jun 25 14:48:36 UTC 2026","passed","Thu Jun 25 14:48:37 UTC 2026","Authorization","Authentication","",""
"","1754","User login with wrong email or password","LMS system","Thu Jun 25 14:48:36 UTC 2026","passed","Thu Jun 25 14:48:37 UTC 2026","Authorization","Authentication","",""
"","1607","User login with wrong email or password","LMS system","Thu Jun 25 14:48:38 UTC 2026","passed","Thu Jun 25 14:48:39 UTC 2026","Authorization","Authentication","",""
"","1689","Navigation from login page to registration page","LMS system","Thu Jun 25 14:48:40 UTC 2026","passed","Thu Jun 25 14:48:42 UTC 2026","Authorization","Authentication","",""
