"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3046","User login with correct email and password","LMS system","Sat Jun 20 08:15:05 UTC 2026","passed","Sat Jun 20 08:15:08 UTC 2026","Authorization","Authentication","",""
"","1649","User login with wrong email or password","LMS system","Sat Jun 20 08:15:05 UTC 2026","passed","Sat Jun 20 08:15:07 UTC 2026","Authorization","Authentication","",""
"","1761","User login with wrong email or password","LMS system","Sat Jun 20 08:15:03 UTC 2026","passed","Sat Jun 20 08:15:05 UTC 2026","Authorization","Authentication","",""
"","1770","User login with wrong email or password","LMS system","Sat Jun 20 08:15:03 UTC 2026","passed","Sat Jun 20 08:15:05 UTC 2026","Authorization","Authentication","",""
"","2111","Check displaying of dashboard page","LMS system","Sat Jun 20 08:15:16 UTC 2026","passed","Sat Jun 20 08:15:18 UTC 2026","Dashboard","Dashboard","",""
"","3276","Edit course","LMS system","Sat Jun 20 08:15:13 UTC 2026","passed","Sat Jun 20 08:15:16 UTC 2026","Courses","Courses","",""
"","1977","Registration with correct email, username and password","LMS system","Sat Jun 20 08:15:07 UTC 2026","passed","Sat Jun 20 08:15:09 UTC 2026","Registration","Authentication","",""
"","1575","Navigation from login page to registration page","LMS system","Sat Jun 20 08:15:09 UTC 2026","passed","Sat Jun 20 08:15:10 UTC 2026","Authorization","Authentication","",""
"","2883","Create course","LMS system","Sat Jun 20 08:15:12 UTC 2026","passed","Sat Jun 20 08:15:15 UTC 2026","Courses","Courses","",""
"","1492","Check displaying of empty courses list","LMS system","Sat Jun 20 08:15:11 UTC 2026","passed","Sat Jun 20 08:15:12 UTC 2026","Courses","Courses","",""
