"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1646","Check displaying of empty courses list","LMS system","2026-06-20","passed","2026-06-20","Courses","Courses","",""
"","1840","Navigation from login page to registration page","LMS system","2026-06-20","passed","2026-06-20","Authorization","Authentication","",""
"","1707","User login with wrong email or password","LMS system","2026-06-20","passed","2026-06-20","Authorization","Authentication","",""
"","2945","Create course","LMS system","2026-06-20","passed","2026-06-20","Courses","Courses","",""
"","1941","User login with wrong email or password","LMS system","2026-06-20","passed","2026-06-20","Authorization","Authentication","",""
"","1918","Registration with correct email, username and password","LMS system","2026-06-20","passed","2026-06-20","Registration","Authentication","",""
"","1893","User login with wrong email or password","LMS system","2026-06-20","passed","2026-06-20","Authorization","Authentication","",""
"","1812","Check displaying of dashboard page","LMS system","2026-06-20","passed","2026-06-20","Dashboard","Dashboard","",""
"","3237","Edit course","LMS system","2026-06-20","passed","2026-06-20","Courses","Courses","",""
"","3126","User login with correct email and password","LMS system","2026-06-20","passed","2026-06-20","Authorization","Authentication","",""
