"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1736","User login with wrong email or password","LMS system","Sat Jun 20 08:15:12 UTC 2026","passed","Sat Jun 20 08:15:14 UTC 2026","Authorization","Authentication","",""
"","3112","User login with correct email and password","LMS system","Sat Jun 20 08:15:12 UTC 2026","passed","Sat Jun 20 08:15:15 UTC 2026","Authorization","Authentication","",""
"","1796","User login with wrong email or password","LMS system","Sat Jun 20 08:15:10 UTC 2026","passed","Sat Jun 20 08:15:11 UTC 2026","Authorization","Authentication","",""
"","1579","Check displaying of empty courses list","LMS system","Sat Jun 20 08:15:18 UTC 2026","passed","Sat Jun 20 08:15:19 UTC 2026","Courses","Courses","",""
"","1488","Navigation from login page to registration page","LMS system","Sat Jun 20 08:15:15 UTC 2026","passed","Sat Jun 20 08:15:17 UTC 2026","Authorization","Authentication","",""
"","2504","Create course","LMS system","Sat Jun 20 08:15:18 UTC 2026","passed","Sat Jun 20 08:15:21 UTC 2026","Courses","Courses","",""
"","1730","User login with wrong email or password","LMS system","Sat Jun 20 08:15:10 UTC 2026","passed","Sat Jun 20 08:15:11 UTC 2026","Authorization","Authentication","",""
"","1926","Check displaying of dashboard page","LMS system","Sat Jun 20 08:15:21 UTC 2026","passed","Sat Jun 20 08:15:23 UTC 2026","Dashboard","Dashboard","",""
"","2940","Edit course","LMS system","Sat Jun 20 08:15:19 UTC 2026","passed","Sat Jun 20 08:15:22 UTC 2026","Courses","Courses","",""
"","2056","Registration with correct email, username and password","LMS system","Sat Jun 20 08:15:14 UTC 2026","passed","Sat Jun 20 08:15:16 UTC 2026","Registration","Authentication","",""
