"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1721","Navigation from login page to registration page","LMS system","Sat Jun 20 08:24:55 UTC 2026","passed","Sat Jun 20 08:24:57 UTC 2026","Authorization","Authentication","",""
"","1961","User login with wrong email or password","LMS system","Sat Jun 20 08:24:51 UTC 2026","passed","Sat Jun 20 08:24:53 UTC 2026","Authorization","Authentication","",""
"","1662","Check displaying of empty courses list","LMS system","Sat Jun 20 08:24:59 UTC 2026","passed","Sat Jun 20 08:25:01 UTC 2026","Courses","Courses","",""
"","1655","Check displaying of dashboard page","LMS system","Sat Jun 20 08:25:04 UTC 2026","passed","Sat Jun 20 08:25:06 UTC 2026","Dashboard","Dashboard","",""
"","1987","User login with wrong email or password","LMS system","Sat Jun 20 08:24:51 UTC 2026","passed","Sat Jun 20 08:24:53 UTC 2026","Authorization","Authentication","",""
"","1869","Registration with correct email, username and password","LMS system","Sat Jun 20 08:24:57 UTC 2026","passed","Sat Jun 20 08:24:59 UTC 2026","Registration","Authentication","",""
"","3012","Edit course","LMS system","Sat Jun 20 08:25:01 UTC 2026","passed","Sat Jun 20 08:25:04 UTC 2026","Courses","Courses","",""
"","1588","User login with wrong email or password","LMS system","Sat Jun 20 08:24:53 UTC 2026","passed","Sat Jun 20 08:24:55 UTC 2026","Authorization","Authentication","",""
"","2805","Create course","LMS system","Sat Jun 20 08:25:00 UTC 2026","passed","Sat Jun 20 08:25:03 UTC 2026","Courses","Courses","",""
"","3298","User login with correct email and password","LMS system","Sat Jun 20 08:24:53 UTC 2026","passed","Sat Jun 20 08:24:57 UTC 2026","Authorization","Authentication","",""
